Id,survey_date,duration_min,"Do you confirm that you are aged 18 or over, have read the Participant Information Sheet, and agree to take part in this anonymous research study?","Do you understand that your answers are anonymous and that no identifying information (such as your name, email, or IP address) will be collected?",What is your age group,Gender,Are you currently an ATU Student?,"How often do you use AI tools (for example, ChatGPT, Gemini, Copilot, or similar)?",Your Online Activity.I sometimes go online "just for a minute" and end up staying much longer than I intended.,Your Online Activity.I often check social media or messaging apps without really thinking about it.,Your Online Activity.I find it hard to stop scrolling even when I know I should be doing something else.,Your Online Activity.I sometimes post or reply online before I've fully thought through what I want to say.,"Online Feelings.When someone is upset online, it rarely affects me emotionally.",Online Feelings.I don't feel as responsible for other people's feelings when I'm communicating online.,Online Feelings.It's easier for me to ignore someone's feelings in an online conversation than in person.,Online Feelings.I feel less emotionally involved in online conflicts than face-to-face arguments.,Online Norms.It's pretty normal for people to be rude or hostile online.,Online Norms.Swearing or insulting others is just part of online culture.,Online Norms.People should expect harsh comments if they post controversial opinions online.,Online Norms.Calling someone names online isn't a big deal compared to saying it in person.,"Your Sense of Online Anonymity.When I'm online, I feel like people don't really know who I am.",Your Sense of Online Anonymity.I feel more anonymous online than in face-to-face situations.,Your Sense of Online Anonymity.It would be hard for most people to connect my online activity back to me personally.,"Your Sense of Online Anonymity.I feel like I can ""blend in"" online and not stand out as a specific individual.",Online Reactions.Sometimes people deserve a harsh response online if they say something offensive.,"Online Reactions.If someone attacks me online, I feel justified in attacking them back.",Online Reactions.Making fun of someone online is acceptable if they started the argument.,Online Reactions.I can understand why people join in when others gang up on someone online.,Online Reactions.Posting a cutting comment can be a good way to shut down someone who's being annoying.,Online Reactions.I don't feel particularly guilty if I've been harsh to someone online.,Your Trust in AI Tools.I trust AI tools to give me generally accurate information.,Your Trust in AI Tools.I feel comfortable following suggestions made by AI systems.,Your Trust in AI Tools.I believe AI tools are designed with users' best interests in mind.,Your Trust in AI Tools.I am cautious about AI systems and rarely rely on them.,"Your Trust in AI Tools.Overall, I feel AI tools are safe to use.",How You Communicate with AI.I feel more comfortable expressing my true thoughts when I'm interacting with AI.,How You Communicate with AI.I sometimes say things to AI tools that I would not say to another person.,How You Communicate with AI.I feel less judged when I interact with AI than when I talk to people.,How You Communicate with AI.I am more direct or blunt when I'm communicating with or through AI systems.,How You Communicate with AI.Interacting with AI makes it easier to let off steam or vent.,How familiar or comfortable do you feel with the AI tools you use?,How do you see yourself?.I see myself as someone who is outgoing and talkative.,How do you see yourself?.I see myself as someone who is organised and keeps track of details.,How do you see yourself?.I see myself as someone who gets nervous or anxious easily.,How do you see yourself?.I see myself as someone who is sensitive to other people's feelings.,How do you see yourself?.I see myself as someone who enjoys new and unusual ideas.,How likely would you be to respond with a sharp or hostile message in this situation?,How serious do you think this situation is?,Which of the following responses sounds most like what you would do?,"To show that you are paying attention, please select ""Agree."""
1,2026-01-13,5.82,Yes,Yes,18-24,Woman,Yes,About once a week,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Disagree,7.0,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,10.0,5.0,Reply with a sharp or sarcastic comment.,Agree
2,2026-01-13,9.57,Yes,Yes,35-44,Woman,Yes,Several times a week,Strongly Agree,Agree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,7.0,Disagree,Agree,Agree,Agree,Agree,2.0,2.0,Ignore it and move on.,Agree
3,2026-01-13,5.93,Yes,Yes,35-44,Woman,Yes,Several times a week,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Agree,Disagree,6.0,Agree,Agree,Disagree,Agree,Agree,2.0,7.0,Report or block the person.,Agree
4,2026-01-20,65.77,Yes,Yes,25-34,Woman,Yes,Several times a week,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neither Agree Nor Disagree,Strongly agree,Disagree,Disagree,Strongly Disagree,Strongly agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,5.0,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,1.0,1.0,Ignore it and move on.,Agree
5,2026-01-21,5.7,Yes,Yes,18-24,Woman,Yes,About once a week,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,7.0,Agree,Strongly agree,Disagree,Agree,Neither Agree Nor Disagree,1.0,4.0,Reply with a sharp or sarcastic comment.,Agree
6,2026-01-21,5.55,Yes,Yes,18-24,Woman,Yes,Less than once a month,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Strongly Disagree,6.0,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,5.0,6.0,Reply calmly but firmly.,Agree
7,2026-01-21,8.97,Yes,Yes,18-24,Woman,Yes,Several times a week,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,7.0,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly agree,2.0,5.0,Talk to someone else about it privately.,Agree
8,2026-01-21,5.57,Yes,Yes,18-24,Man,Yes,Daily,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,8.0,Agree,Agree,Agree,Neither Agree Nor Disagree,Strongly agree,6.0,3.0,Reply with a sharp or sarcastic comment.,Agree
9,2026-01-23,6.75,Yes,Yes,18-24,Man,Yes,About once a month,Agree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,6.0,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Disagree,6.0,4.0,Reply with a sharp or sarcastic comment.,Agree
10,2026-01-26,2.92,Yes,Yes,18-24,Woman,Yes,About once a week,Disagree,Agree,Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,4.0,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,3.0,2.0,Ignore it and move on.,Agree
