Predictor,B,SE,t,p,beta
Moral disengagement,1.57,0.33,4.76,<.001,.466
Perceived anonymity,-0.71,0.29,-2.46,.015,-.214
AI disinhibition,-0.52,0.28,-1.86,.065,-.183
Neuroticism,0.21,0.23,0.92,.359,.089
Agreeableness,-0.26,0.28,-0.95,.344,-.090
AI familiarity,0.11,0.17,0.68,.500,.072
Empathy deficit,-0.11,0.33,-0.33,.739,-.033
Conscientiousness,0.09,0.23,0.37,.711,.032
Habitual use,-0.06,0.32,-0.20,.846,-.018
Openness,0.03,0.26,0.11,.909,.010
Aggression normalisation,0.01,0.35,0.03,.973,.004
AI trust,-0.06,0.34,-0.17,.867,-.016
Extraversion,-0.00,0.23,-0.01,.995,-.001
